State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Ludhiana,"Sahnewal APMC",Brinjal,Brinjal,FAQ,12/09/2026,2400,2400,2400
Bihar,Bhagalpur,"Bihpur APMC","Pointed gourd(Parval)",Other,Local,12/09/2026,4500,4500,4500
Haryana,Gurgaon,"Gurgaon APMC",Guava,Guava,"Grade B",12/09/2026,5000,10000,7500
"Andhra Pradesh",Ananthapuramu,"RAYADURG APMC",Maize,Local,"Grade Range-1",12/09/2026,2200,2600,2400
Keralam,Thiruvananthapuram,"Parassala Market","Green Chilli","Green Chilly",Local,12/09/2026,7800,8200,8000
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC","Green Chilli","Green Chilly","Grade A",12/09/2026,2500,3500,3000
Uttarakhand,Haridwar,"Roorkee APMC",Cauliflower,Other,Local,12/09/2026,1000,1600,1200
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Cucumbar(Kheera),Cucumbar,"Grade A",12/09/2026,2500,3500,3000
Uttarakhand,Haridwar,"Roorkee APMC","Bottle gourd",Other,Local,12/09/2026,650,850,750
Uttarakhand,Haridwar,"Roorkee APMC","Bitter gourd",Other,Local,12/09/2026,650,850,750
"Andhra Pradesh",Visakhapatnam,"Bhimunipatnam APMC","Ragi(Finger Millet)",Local,Local,12/09/2026,5000,5000,5000
Haryana,Gurgaon,"Gurgaon APMC",Apple,Apple,"Grade B",12/09/2026,5000,10000,7500
Keralam,Thiruvananthapuram,"Parassala Market","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,12/09/2026,8800,9200,9000
Punjab,Ludhiana,"Sahnewal APMC",Cabbage,Cabbage,FAQ,12/09/2026,1800,1800,1800
Keralam,Thiruvananthapuram,"Parassala Market","Bhindi(Ladies Finger)",Bhindi,Local,12/09/2026,5800,6200,6000
Keralam,Thiruvananthapuram,"Parassala Market","Cluster beans","Cluster Beans",Local,12/09/2026,3800,4200,4000
Bihar,Bhagalpur,"Bihpur APMC","Bitter gourd","Bitter Gourd",Local,12/09/2026,2500,2500,2500
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Ridgeguard(Tori),Ridgeguard(Tori),"Grade A",12/09/2026,2000,2700,2500
Rajasthan,Jalore,"Jalore APMC","Cluster beans",Other,Local,12/09/2026,4000,4500,4300
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Banana,Other,"Grade A",12/09/2026,2000,2700,2500
Keralam,Kollam,"Kottarakkara Market",Lemon,Other,Local,12/09/2026,3100,3100,3100
"Andhra Pradesh",Guntur,"Phirangipuram APMC",Cotton,"Cotton (Unginned)",Local,12/09/2026,7500,8700,8100
"Andhra Pradesh","SPSR Nellore","Kavali APMC",Paddy(Common),Other,Local,12/09/2026,2380,2450,2410
Keralam,Ernakulam,"Piravam Market",Onion,Onion,Local,12/09/2026,5000,7000,6000
Keralam,Ernakulam,"Piravam Market",Mango(Raw-Ripe),"Mango - Raw-Ripe",Local,12/09/2026,4000,6000,4500
Keralam,Ernakulam,"Piravam Market","Long Melon(Kakri)",Other,Local,12/09/2026,3500,4500,4000
Punjab,Amritsar,"Rayya APMC",Raddish,Other,FAQ,12/09/2026,2080,2080,2080
Punjab,Amritsar,"Rayya APMC",Potato,Potato,FAQ,12/09/2026,748,748,748
Keralam,Kollam,"Kottarakkara Market",Cabbage,Other,Local,12/09/2026,2100,2100,2100
Keralam,Kollam,"Kottarakkara Market","Bitter gourd",Other,Local,12/09/2026,4000,4000,4000
Keralam,Kollam,"Kottarakkara Market","Bhindi(Ladies Finger)",Other,Local,12/09/2026,2000,2000,2000
Punjab,Amritsar,"Rayya APMC","Bhindi(Ladies Finger)",Bhindi,FAQ,12/09/2026,685,685,685
Punjab,Amritsar,"Rayya APMC",Brinjal,Brinjal,FAQ,12/09/2026,500,500,500
Keralam,Ernakulam,"Piravam Market",Cabbage,Cabbage,Local,12/09/2026,5000,6000,5500
Keralam,Ernakulam,"Piravam Market",Brinjal,Brinjal,Local,12/09/2026,3000,4000,3500
Keralam,Ernakulam,"Piravam Market",Amaranthus,Amaranthus,Local,12/09/2026,6200,7000,6800
Keralam,Ernakulam,"Piravam Market","Banana - Green","Banana - Green",Local,12/09/2026,6000,8000,7000
"Andhra Pradesh",Anakapally,"Yellamanchili APMC",Paddy(Common),1001,Local,12/09/2026,2390,2450,2400
Keralam,Ernakulam,"Piravam Market",Coriander(Leaves),Other,Local,12/09/2026,8000,9000,8500
Bihar,"East Champaran/ Motihari","Raxaul APMC","Bhindi(Ladies Finger)",Bhindi,"Grade A",12/09/2026,900,1100,1000
Tripura,"North Tripura","Dasda APMC",Rice,Other,FAQ,12/09/2026,3250,3350,3300
Haryana,Gurgaon,"Gurgaon APMC","Bottle gourd",Other,"Grade B",12/09/2026,800,1200,1000
Keralam,Thiruvananthapuram,"Parassala Market",Banana,Robusta,Local,12/09/2026,2800,3200,3000
Keralam,Thiruvananthapuram,"Parassala Market",Banana,Rasakathai,Local,12/09/2026,6000,6400,6200
Punjab,Ludhiana,"Sahnewal APMC",Capsicum,Capsicum,FAQ,12/09/2026,4100,4100,4100
Punjab,Bhatinda,"Rampuraphul(Nabha Mandi) APMC",Potato,Other,"Grade A",12/09/2026,500,7000,600
